Company_Name;period;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;d1;d2;d3;d4;d5;d6;year;yearfory;periodfory;t;u
1 800 CONTACTS INC;1;0;4.756739616;0.657471138;5.054959893;19.83962902;3.323490232;0.176676288;0.002018435;-0.438110569;-0.532124318;36.30537224;1;0;0;0;0;0;1998;2001;4;0;3
1 800 CONTACTS INC;2;0;3.335432087;0.592200848;6.640493346;25.49818861;3.932505788;0.253572284;0;0.244591682;0.327683012;26.66633876;0;1;0;0;0;0;1999;2002;5;1;4
1 800 CONTACTS INC;3;0;1.770814461;0.358510801;15.4883547;31.48121588;5.552742448;0.465106481;0;0.401179714;0.750017902;27.27896735;0;0;1;0;0;0;2000;2003;6;2;5
1 800 CONTACTS INC;4;0;1.689929463;0.364805079;9.192734374;31.50717604;3.353556192;0.528757068;0;0.195694872;0.415273861;5.403175744;0;0;0;1;0;0;2001;2004;7;3;6
1 800 CONTACTS INC;5;0;1.93785761;0.32251145;8.43026457;8.149867025;2.718856849;0.71619573;0.500255595;-0.064576479;-0.227538785;7.070217754;0;0;0;0;1;0;2002;2005;8;4;7
1 800 CONTACTS INC;6;0;1.72250692;0.141100413;15.27009623;3.246827761;2.15461688;0.364933109;0.210809961;-0.016541855;-0.026047422;8.6802736;0;0;0;0;0;1;2003;2006;9;5;8
1 800 FLOWERS COM INC;1;0;3.405974261;0.469518248;3.455693238;4.838479167;1.622511036;1.046996244;1.453751258;-0.037542157;0.798833138;6.461280872;1;0;0;0;0;0;1999;2002;4;0;3
1 800 FLOWERS COM INC;2;0;2.556180839;0.365601114;4.690791326;4.293148789;1.714958535;0.292569033;0.056076598;-0.297496895;-0.420531343;4.027591175;0;1;0;0;0;0;2000;2003;5;1;4
1 800 FLOWERS COM INC;3;0;1.446313423;0.140373968;16.13480976;4.15497575;2.264907273;0.396610621;0.09605248;-0.211623655;-0.350724859;12.94920258;0;0;1;0;0;0;2001;2004;6;2;5
1 800 FLOWERS COM INC;4;0;1.346174415;0.112479906;21.33835468;4.266169589;2.400136133;0.401864285;0.089928903;-0.007293985;-0.012194531;4.91507406;0;0;0;1;0;0;2002;2005;7;3;6
