"Company_Name" "DNUM"
"1 800 CONTACTS INC" 5961
"1 800 FLOWERS COM INC" 5990
"A C T TELECONFERENCING INC" 4899
"A E S CORP" 4991
"A G C O CORP" 3523
"A K STEEL HOLDING CORP" 3312
"A P A C CUSTOMER SERVICES INC" 7389
"A P T SATELLITE HOLDINGS LTD" 4899
"A R M HOLDINGS PLC" 3674
"A S M LITHOGRAPHY HOLDING N V" 3559
"A S V INC" 3531
"A V X CORP NEW" 3670
"AASTROM BIOSCIENCES INC" 2836
"ABERCROMBIE & FITCH CO" 5651
"ABRAXAS PETROLEUM CORP" 1311
"AC MOORE ARTS AND CRAFTS INC" 5945
"ACCELR8 TECHNOLOGY CORP NEW" 2835
"ACE COMM CORP" 7373
"ACME COMMUNICATIONS INC" 4833
"ACTUATE SOFTWARE CORP" 7372
"ADAMS GOLF INC" 3949
"ADAPTIVE SOLUTIONS INC" 3576
"ADMINISTAFF INC" 7363
"ADTRAN INC" 3661
"ADVANCED ENERGY INDUSTRIES INC" 3679
"ADVANCED MATERIALS GROUP INC" 3086
"ADVANCED PROMOTION TECHS INC" 7310
"ADVENT SOFTWARE INC" 7372
"ADVOCAT INC" 8051
"AETRIUM INC" 3825
"AFFILIATED COMPUTER SVCS INC" 7374
"AFFILIATED MANAGERS GROUP INC" 6282
"AFFINITY TECHNOLOGY GROUP INC" 3578
"AFFYMETRIX INC" 3845
"AFTERMARKET TECHNOLOGY CORP" 3714
"AGILENT TECHNOLOGIES INC" 3825
"AGRIBIOTECH INC NEW" 5190
"AIRNET SYSTEMS INC" 4513
"ALAMO GROUP INC" 3523
"ALASKA COMMUNICATIONS SYS GRP IN" 4813
"ALBANY MOLECULAR RESEARCH INC" 8731
"ALBEMARLE CORP" 2890
"ALCOHOL SENSORS INTL LTD" 3829
"ALEXION PHARMACEUTICALS INC" 2836
"ALL FOR A DOLLAR INC" 5331
"ALLIANCE RESOURCE PARTNERS" 1220
"ALLIANT TECHSYSTEMS INC" 3480
"ALLIED HEALTHCARE PRODUCTS INC" 3842
"ALLIN COMMUNICATIONS CORP" 7373
"ALTEON INC" 2834
"ALTIGEN COMMUNICATIONS INC" 3661
"ALYN CORPORATION" 3290
"AMARILLO BIOSCIENCES" 2836
"AMAZON COM INC" 5961
"AMBASSADORS INTERNATIONAL INC" 4400
"AMBERS STORES INC" 5945
"AMCOR LTD" 2650
"AMDOCS LTD" 7372
"AMERICA SERVICE GROUP INC" 8090
"AMERICAN AXLE & MFG HLGDS INC" 3714
"AMERICAN BANK NT HGRHCS INC DEL" 2670
"AMERICAN BIOGENETIC SCIENCES INC" 2835
"AMERICAN DENTAL PARTNERS INC" 8741
"AMERICAN SENSORS INC" 3669
"AMERICAN SKIING CO" 7990
"AMERICAN STANDARD COS INC DEL" 3585
"AMERICAN TECHNOLOGY CORP" 3651
"AMERICAN TOWER SYSTEMS CORP" 4899
"AMETECH INC" 4955
"AMETEK INC NEW" 3823
"AMKOR TECHNOLOGY INC" 3674
"AMPACE CORP" 4213
"AMPHENOL CORP NEW" 3678
"AMYLIN PHARMACEUTICALS INC" 2834
"ANADIGICS INC" 3674
"ANDERSONS INC" 5150
"ANGLOGOLD LTD" 1040
"ANIKA RESEARCH INC" 2836
"ANNTAYLOR STORES CORP" 5621
"ANSOFT CORP" 7372
"ANSWERTHINK CONSULTING GROUP INC" 7370
"ANSYS INC" 7372
"APEX SILVER MINES LIMITED" 1044
"APPLE ORTHODONTIX INC" 8000
"APPLIED MICRO CIRCUITS CORP" 3674
"APPLIED SIGNAL TECHNOLOGY" 3663
"APS HOLDING CORP" 5013
"APTARGROUP INC" 3089
"ARCH CHEMICALS INC" 2800
"ARIAD PHARMACEUTICALS INC" 2836
"ARKANSAS BEST CORP DEL" 4213
"ARQULE INC" 2836
"ARRHYTHMIA RESEARCH TECH INC" 3845
"ARROW INTERNATIONAL INC" 3841
"ARROW TRANSPORTATION CO" 4213
"ART TECHNOLOGY GROUP INC" 7372
"ARTESIAN RESOURCES CORP" 4941
"ARTHROCARE CORP" 3845
"ASPEN TECHNOLOGY INC" 7372
"ASTROPOWER INC" 3674
"AT HOME CORPORATION" 7370
"AUSTINS INTERNATIONAL INC" 5812
"AUTOBYTEL COM INC" 7370
"AUTOIMMUNE INC" 2836
"AUTOLIV INC" 3714
"AUTOZONE INC" 5531
"AVALON HOLDINGS CORP" 4955
"AVID TECHNOLOGY INC" 3861
"AVIGEN INC" 2836
"AWARE INC" 7373
"AZTEC ENERGY CORP" 1311
"B J S WHOLESALE CLUB INC" 5399
"B J SERVICES CO" 1389
"BAAN COMPANY NV" 7372
"BACKWEB TECHNOLOGIES LTD" 7372
"BALLANTYNE OMAHA INC" 3861
"BALLARD POWER SYSTEMS INC" 3690
"BARNES & NOBLE INC" 5940
"BARRETT BUSINESS SERVICES INC" 7363
"BATTERY ONE STOP INC" 5990
"BE INC" 9995
"BEBE STORES INC" 2330
"BED BATH & BEYOND INC" 5700
"BEL FUSE INC" 3677
"BEN FRANKLIN RETAIL STORES INC" 5090
"BENCHMARK ELECTRONICS INC" 3672
"BEST PRODUCTS INC NEW" 5399
"BIG DOG HOLDINGS INC" 5651
"BIO IMAGING TECHNOLOGIES INC" 8071
"BIOANALYTICAL SYSTEMS INC" 8731
"BIOCRYST PHARMACEUTICALS INC" 2836
"BIOMARIN PHARMACEUTICAL INC" 2836
"BIOMEDICAL WASTE SYSTEMS INC" 4955
"BIOMIRA INC" 2836
"BIOSEPRA INC" 2890
"BIOSITE DIAGNOSTICS INC" 2835
"BIOSYS" 2870
"BIOTIME INC" 2836
"BIPER S A DE C V" 4812
"BIRMAN MANAGED CARE INC" 8742
"BISYS GROUP INC" 6200
"BITSTREAM INC" 7372
"BLOCKBUSTER INC" 7841
"BLONDER TONGUE LABORATORIES INC" 3663
"BLUE SQUARE ISRAEL LTD" 5411
"BLYTH INDUSTRIES INC" 3990
"BON TON STORES INC" 5311
"BOOKS A MILLION INC" 5940
"BORDERS GROUP INC" 5940
"BORG WARNER AUTOMOTIVE INC" 3714
"BOSTON BEER INC" 2082
"BOSTON CHICKEN INC" 5812
"BOTTOMLINE TECHNOLOGIES DEL INC" 7372
"BOYD GAMING CORP" 7990
"BOYDS WHEELS INC" 3714
"BRADLEY PHARMACEUTICALS INC" 2834
"BREED TECHNOLOGIES INC" 3714
"BRIGHAM EXPLORATION CO" 1311
"BRITISH SKY BROADCASTING GR PLC" 4841
"BROADCOM CORP" 3674
"BROCADE COMMUNICATIONS SYS INC" 3576
"BROTHERS GOURMET COFFEES INC" 2090
"BUCA INC" 5812
"BUCKLE INC" 5651
"BUILDERS EXPRESS INC" 5211
"BUSINESS OBJECTS S A" 7372
"C H S ELECTRONICS INC" 5045
"C M G INFORMATION SERVICES INC" 7370
"C P S SYSTEMS INC" 7373
"C S G SYSTEMS INTERNATIONAL INC" 7374
"C T COMMUNICATIONS INC" 4813
"C V F CORP" 7389
"C V THERAPEUTICS INC" 2836
"CABOT OIL & GAS CORP" 1311
"CALDOR CORP" 5331
"CALICO COMMERCE INC" 7372
"CALLAWAY GOLF CO" 3949
"CALLON PETROLEUM CO DEL" 1311
"CALPINE CORP" 4991
"CAMBRIDGE HEART INC" 3845
"CAMECO CORP" 1090
"CAMPO ELECTRONICS APP & COMP INC" 5731
"CANADIAN NATIONAL RAILWAY CO" 4011
"CANTERBURY PARK HOLDING CORP" 7990
"CANWEST GLOBAL COMM CORP" 4833
"CAPITAL BEVERAGE CORP" 9995
"CAPITAL SENIOR LIVING CORP" 8300
"CARACO PHARMACEUTICAL LABS LTD" 2834
"CARAUSTAR INDUSTRIES INC" 2631
"CARBO CERAMICS INC" 1400
"CARDIODYNAMICS INTL CORP" 3845
"CAREER EDUCATION CORP" 8200
"CARRIAGE SERVICES INC" 7200
"CARRIER ACCESS CORP" 3661
"CARRIZO OIL & GAS INC" 1311
"CASTELLE" 3576
"CATALINA MARKETING CORP" 7310
"CATAPULT COMMUNICATIONS CORP" 3829
"CELADON GROUP INC" 4213
"CELESTICA INC" 3674
"CELL GENESYS INC" 2836
