"Company_Name" "NAICS"
"1 800 CONTACTS INC" 454111
"1 800 FLOWERS COM INC" 453110
"A C T TELECONFERENCING INC" 517910
"A E S CORP" 221119
"A G C O CORP" 333111
"A K STEEL HOLDING CORP" 331111
"A P A C CUSTOMER SERVICES INC" 561422
"A P T SATELLITE HOLDINGS LTD" 517410
"A R M HOLDINGS PLC" 334413
"A S M LITHOGRAPHY HOLDING N V" 333295
"A S V INC" 333120
"A V X CORP NEW" 334414
"AASTROM BIOSCIENCES INC" 325414
"ABERCROMBIE & FITCH CO" 448140
"ABRAXAS PETROLEUM CORP" 211111
"AC MOORE ARTS AND CRAFTS INC" 451120
"ACCELR8 TECHNOLOGY CORP NEW" 325413
"ACE COMM CORP" 541512
"ACME COMMUNICATIONS INC" 515120
"ACTUATE SOFTWARE CORP" 511210
"ADAMS GOLF INC" 339920
"ADAPTIVE SOLUTIONS INC" 334119
"ADMINISTAFF INC" 561320
"ADTRAN INC" 334210
"ADVANCED ENERGY INDUSTRIES INC" 334418
"ADVANCED MATERIALS GROUP INC" 326150
"ADVANCED PROMOTION TECHS INC" 5418
"ADVENT SOFTWARE INC" 511210
"ADVOCAT INC" 623110
"AETRIUM INC" 334515
"AFFILIATED COMPUTER SVCS INC" 518210
"AFFILIATED MANAGERS GROUP INC" 523930
"AFFINITY TECHNOLOGY GROUP INC" 334119
"AFFYMETRIX INC" 334510
"AFTERMARKET TECHNOLOGY CORP" 336350
"AGILENT TECHNOLOGIES INC" 334515
"AGRIBIOTECH INC NEW" 422910
"AIRNET SYSTEMS INC" 492110
"ALAMO GROUP INC" 333111
"ALASKA COMMUNICATIONS SYS GRP IN" 517110
"ALBANY MOLECULAR RESEARCH INC" 541710
"ALBEMARLE CORP" 325998
"ALCOHOL SENSORS INTL LTD" 334519
"ALEXION PHARMACEUTICALS INC" 325414
"ALL FOR A DOLLAR INC" 452990
"ALLIANCE RESOURCE PARTNERS" 212112
"ALLIANT TECHSYSTEMS INC" 332993
"ALLIED HEALTHCARE PRODUCTS INC" 339113
"ALLIN COMMUNICATIONS CORP" 541512
"ALTEON INC" 325412
"ALTIGEN COMMUNICATIONS INC" 334418
"ALYN CORPORATION" 327125
"AMARILLO BIOSCIENCES" 325414
"AMAZON COM INC" 454111
"AMBASSADORS INTERNATIONAL INC" 483112
"AMBERS STORES INC" 451120
"AMCOR LTD" 322211
"AMDOCS LTD" 511210
"AMERICA SERVICE GROUP INC" 621999
"AMERICAN AXLE & MFG HLGDS INC" 336330
"AMERICAN BANK NT HGRHCS INC DEL" 322222
"AMERICAN BIOGENETIC SCIENCES INC" 325413
"AMERICAN DENTAL PARTNERS INC" 561110
"AMERICAN SENSORS INC" 334290
"AMERICAN SKIING CO" 713920
"AMERICAN STANDARD COS INC DEL" 333415
"AMERICAN TECHNOLOGY CORP" 334310
"AMERICAN TOWER SYSTEMS CORP" 517410
"AMETECH INC" 562112
"AMETEK INC NEW" 334513
"AMKOR TECHNOLOGY INC" 334413
"AMPACE CORP" 484121
"AMPHENOL CORP NEW" 334417
"AMYLIN PHARMACEUTICALS INC" 325412
"ANADIGICS INC" 334413
"ANDERSONS INC" 424510
"ANGLOGOLD LTD" 212221
"ANIKA RESEARCH INC" 325414
"ANNTAYLOR STORES CORP" 448120
"ANSOFT CORP" 511210
"ANSWERTHINK CONSULTING GROUP INC" 541512
"ANSYS INC" 511210
"APEX SILVER MINES LIMITED" 212222
"APPLE ORTHODONTIX INC" 621210
"APPLIED MICRO CIRCUITS CORP" 334413
"APPLIED SIGNAL TECHNOLOGY" 334220
"APS HOLDING CORP" 421120
"APTARGROUP INC" 326199
"ARCH CHEMICALS INC" 325
"ARIAD PHARMACEUTICALS INC" 325414
"ARKANSAS BEST CORP DEL" 484122
"ARQULE INC" 325414
"ARRHYTHMIA RESEARCH TECH INC" 334510
"ARROW INTERNATIONAL INC" 339112
"ARROW TRANSPORTATION CO" 484121
"ART TECHNOLOGY GROUP INC" 511210
"ARTESIAN RESOURCES CORP" 221310
"ARTHROCARE CORP" 334510
"ASPEN TECHNOLOGY INC" 511210
"ASTROPOWER INC" 334413
"AT HOME CORPORATION" 514191
"AUSTINS INTERNATIONAL INC" 722110
"AUTOBYTEL COM INC" 518111
"AUTOIMMUNE INC" 325414
"AUTOLIV INC" 336399
"AUTOZONE INC" 441310
"AVALON HOLDINGS CORP" 562112
"AVID TECHNOLOGY INC" 333315
"AVIGEN INC" 325414
"AWARE INC" 541512
"AZTEC ENERGY CORP" 211111
"B J S WHOLESALE CLUB INC" 452910
"B J SERVICES CO" 213112
"BAAN COMPANY NV" 511210
"BACKWEB TECHNOLOGIES LTD" 511210
"BALLANTYNE OMAHA INC" 333315
"BALLARD POWER SYSTEMS INC" 335999
"BARNES & NOBLE INC" 451211
"BARRETT BUSINESS SERVICES INC" 561320
"BATTERY ONE STOP INC" 4539
"BE INC" 999990
"BEBE STORES INC" 31523
"BED BATH & BEYOND INC" 442299
"BEL FUSE INC" 334416
"BEN FRANKLIN RETAIL STORES INC" 421920
"BENCHMARK ELECTRONICS INC" 334412
"BEST PRODUCTS INC NEW" 452990
"BIG DOG HOLDINGS INC" 448140
"BIO IMAGING TECHNOLOGIES INC" 621511
"BIOANALYTICAL SYSTEMS INC" 541710
"BIOCRYST PHARMACEUTICALS INC" 325414
"BIOMARIN PHARMACEUTICAL INC" 325414
"BIOMEDICAL WASTE SYSTEMS INC" 562112
"BIOMIRA INC" 325414
"BIOSEPRA INC" 325998
"BIOSITE DIAGNOSTICS INC" 325413
"BIOSYS" 325320
"BIOTIME INC" 325414
"BIPER S A DE C V" 513321
"BIRMAN MANAGED CARE INC" 541611
"BISYS GROUP INC" 523999
"BITSTREAM INC" 511210
"BLOCKBUSTER INC" 532230
"BLONDER TONGUE LABORATORIES INC" 334220
